Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Manufacturers,Funding Details,Funding Text 1,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Hanif Dwinanda M., Yufriadi E.","57210892625;57210893880;","Analysis of music director policy in selecting songs for the morning program in JAK! 101 FM Radio",2019,"International Journal of Scientific and Technology Research","8","7",,"307","310",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071768841&partnerID=40&md5=f660e288ad8f4b3622e32e47622fb135","Communication Department, Faculty of Economics and Communication, Bina Nusantara University, Jakarta, 11480, Indonesia","Hanif Dwinanda, M., Communication Department, Faculty of Economics and Communication, Bina Nusantara University, Jakarta, 11480, Indonesia; Yufriadi, E., Communication Department, Faculty of Economics and Communication, Bina Nusantara University, Jakarta, 11480, Indonesia","This research described how the selection of music on the radio. The music director is responsible for the selection of music or songs on the radio. The music director has a policy when in selecting music or song, which is in accordanc e with the target audience of the radio where the music director works. On the JAK! 101 FM radio, music director selects music or songs based on programs on the radio. One of JAK! 1 01 FM programs is Sarapan Seru that airs from 6 am to 10 am. The theory use d in this research is SWOT theory and production process theory. The purpose of this research was to find out the policy made by music director of JAK! 101 FM in selecting songs for Sarapan Seru program. The re sults of this research regarding the music dir ector's policy in selecting songs for Sarapan Seru program were to play the best song that is known by the listeners, and the reason of the music director in selecting songs for Sarapan Seru program is to play a song that uplifts the listener’s mood in the morning. © 2019 International Journal of Scientific and Technology Research. All rights reserved.","Music; Music Director; Policy; Radio",,,,,,,"Effendy, O.U., (2013) Ilmu Komunikasi Teori Dan Praktek, , Bandung: PT Remaja Rosdakarya; Morissan, M.A., (2008) Manajemen Media Penyiaran: Strategi Mengelola Radio Dan Televisi, , 1st ed. Jakarta: Kencana Prenada Media Group; Romli, A.S., (2009) Buku Dasar-Dasar Siaran Radio, , Bandung: Nuansa; Masduki, M., (2004) Menjadi Broadcaster Profesional, , Yogyakarta: PT. Remaja Rosdakarya; Adams, L.B., (1997) Talkback: Emperors of Air, , Australia: Allen & Unwin; Bungin, B., (2009) Sosiologi Komunikasi, , Jakarta: Kencana Prena a Media Group; (2008) Morissan, Manajemen Media Penyiaran: Strategi Mengelola Radio Dan Televisi, , Jakarta: Kencana Prenada Media Group; Morrisan, M., (2015) Periklanan Komunikasi Pemasaran Terpadu, , Kencana; Banoe, P., (2003) Kamus Musik, , Yogyakarta: Kanisius; Bungin, B., (2013) Metodologi Penelitian Sosial & Ekonomi Format Kuantitatif Dan Kualitatif Untuk Studi Sosiologi Kebijakan Pubilk Komunikasi Manajemen Dan Pemasaran, , Jakarta: PT. Kencana Perdana Media Group; Assauri, S., (1995) Manajemen Produksi Dan Operasi, , Jakarta: FEUI; Ahyari, A., (2002) Manajemen Produksi Perencanaan Sistem Produksi, , Yogyakarta: BPFE; Sugiyono, S., (2015) Metode Penelitian Kuantitatif Kualitatif Dan R&D, , Bandung: Alfabeta; Moleong, L.J., (2011) Metodologi Penelitian Kualitatif Edisi Revisi, , Bandung: PT Remaja Rosdakarya; Creswell, H., (2016) Research Design Qualitative, Quantitative, and Mixed Methods Approaches, , London: Sage Publication; Kriyantono, R., (2014) Teori Public Relations Persepektif Barat Dan Lokal: Aplikasi Penelitian Dan Praktik, , Jakarta: Kencana Prenada Media Group",,,,"International Journal of Scientific and Technology Research",,,,,22778616,,,,"English","Int. J. Sci. Technol. Res.",Article,"Final","",Scopus,2-s2.0-85071768841
"Permatasari M., Yufriadi E.","57210885325;57210893880;","Production strategy of 86 program in NET.",2019,"International Journal of Scientific and Technology Research","8","7",,"304","306",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071755412&partnerID=40&md5=12a21eb112988042f7cc058983e77ddd","Communication Department, Faculty of Economics and Communication, Bina Nusantara University, Jakarta, 11480, Indonesia","Permatasari, M., Communication Department, Faculty of Economics and Communication, Bina Nusantara University, Jakarta, 11480, Indonesia; Yufriadi, E., Communication Department, Faculty of Economics and Communication, Bina Nusantara University, Jakarta, 11480, Indonesia","This study aimed to closely examine the production strategy of 86 program by the production team on NET. starting from the pre production process to post production process. This research used descriptive qualitative research method through a case study with data collection thro ugh observation, in depth interview, and literature study. The data were analyzed using Strauss and Corbin data analysis model, which is coding. The results showed that the strategy in pre production process is to conduct a meeting for brainstorming, then execute the idea in production process by keep exploring new side story and evaluating at the end of the process to determine whether the activities have been implemented as intended. © 2019 International Journal of Scientific and Technology Research. All rights reserved.","Broadcasting; Production Process; Qualitative Research; Reality Show Program",,,,,"NRF-2017R1D1A1A02018439","Supported by Basic Science Research Program through the NRF funded by the Ministry of Education (NRF-2017R1D1A1A02018439).","Indonesia, K.P., (2012) Pedoman Perilaku Penyiaran (P3) Dan Standar Program Siaran (SPS); Kuswita, H., Perencanaan dan Produksi Program Televisi Pendidikan di Televisi Edukasi (2014) J. Komun, 11 (2); Mast, J., The Dark Side of Reality TV: Professional Ethics and the Treatment of Reality Show Participants (2016) Int. J. Commun, 10, pp. 2179-2200; Suryabrata, S., (2000) Metodologi Penelitian, , Jakarta: PT. RajaGrafindo Persada; Sugiyono, S., (2015) Metode Penelitian Kuantitatif Kualitatif Dan R&D, , Bandung: Alfabeta; Ardianto, E., (2010) Metodologi Penelitian Untuk Public Relations Kualitatif Dan Kuantitatif, , Bandung: Simbiosa Rekatama Media; Suwandi, D., Basrowi, D., (2008) Memahami Penelitian Kualitatif; Badjuri, A., (2010) Jurnalistik Televisi, , Yogyakarta: Graha Ilmu",,,,"International Journal of Scientific and Technology Research",,,,,22778616,,,,"English","Int. J. Sci. Technol. Res.",Article,"Final","",Scopus,2-s2.0-85071755412
"Hanin R.M., Yufriadi E.","57210888628;57210893880;","Production strategy of dreamers radio in K-POP vaganza program in new media era",2019,"International Journal of Scientific and Technology Research","8","7",,"311","315",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071749066&partnerID=40&md5=77c58222556b70d3068308c107a4d2de","Communication Department, Faculty of Economics and Communication, Bina Nusantara University, Jakarta, 11480, Indonesia","Hanin, R.M., Communication Department, Faculty of Economics and Communication, Bina Nusantara University, Jakarta, 11480, Indonesia; Yufriadi, E., Communication Department, Faculty of Economics and Communication, Bina Nusantara University, Jakarta, 11480, Indonesia","The purpose of this research was to identify Dreamers Radio production strategy in K-POP Vaganza program and how the strategy of the production team in designing the program to increase the number of listeners in new media era. The research method used q ualitative method which will be explained descriptively with data obtained through in depth interview about production stage and program strategy in connection with new media era. Based on the results of research can be analyzed that the media product is very instrumental in the process of pre production, production, and post production. The program’s production strategy in an effort to get closer to the target audience and increase the listener is also related to the selection, scheduling, promotion, and e valuation that are also closely related to the product and market share in the new media era. The result concluded that new media products are very helpful in the production strategy and design of the qualified K POP Vaganza program that will lead to an in crease in the number of listeners and remain the flagship program at Dreamers Radio. © 2019 International Journal of Scientific and Technology Research. All rights reserved.","K-POP Vaganza Program; New Media; Production Strategy",,,,,,,"Ibrahim, I.S., Akhmad, B.A., (2014) Komunikasi Dan Komodifikasi Budaya: Mengkaji Media Dan Budaya Dalam Dinamika Globalisasi, , Jakarta: Pustaka Obor; Moleong, L.J., (2011) Metodologi Penelitian Kualitatif Edisi Revisi, , Bandung: PT Remaja Rosdakarya; Kriyantono, R., (2009) Teknik Praktis Riset Komunikasi, , Malang: Prenada Media Group; Gunawan, I., (2013) Metode Penelitian Kualitatif: Teori Dan Praktik, , Jakarta: Bumi Aksara; Gunawan, H., (2013) Dampak Dan Perkembangan Media Baru Di Era Globalisasi Komunikasi Indonesia, , http://www.tribunnews.com/iptek/2013/11/28/dampak-dan-perkembangan-media-baru-di-era-globalisasi-komunikasi-indonesia, [Online]. Available, [Accessed: 26-Mar-2019]; Vera, N., (2016) Komunikasi Massa, , Bogor: Ghalia Indonesia; Eastman, S.T., Ferguson, D.A., (2009) Media Programming: Strategies and Practices, , Belmont: Wadsworth; Morissan, M.A., (2008) Manajemen Media Penyiaran: Strategi Mengelola Radio Dan Televisi, , 1st ed. Jakarta: Kencana Prenada Media Group; (2017) Indotelko.Com - Indepth Review of Indonesias Telco Industry,”, , https://www.indotelko.com/, [Online]. Available, [Accessed: 29-May-2019]; Romli, K., Si, M., (2017) Komunikasimassa",,,,"International Journal of Scientific and Technology Research",,,,,22778616,,,,"English","Int. J. Sci. Technol. Res.",Article,"Final","",Scopus,2-s2.0-85071749066
"Atmadja A., Yufriadi E.","57210892059;57210893880;","Creative team strategy in marketing tvc bbm advertising content for middle east",2019,"International Journal of Scientific and Technology Research","8","8",,"342","345",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071749389&partnerID=40&md5=b6cc2ec0ff066cb8e7b768deda9efdbe","Communication Department, Faculty of Economics and Communication, Nusantara University, Jakarta, Indonesia","Atmadja, A., Communication Department, Faculty of Economics and Communication, Nusantara University, Jakarta, Indonesia; Yufriadi, E., Communication Department, Faculty of Economics and Communication, Nusantara University, Jakarta, Indonesia","This study is proposed to know the steps pf creative process, concept determination, and segmentatiojn research of BBM for middle east ads produced by PT VIP. This is a qualitative research type case study that uses the technique of collecting interview data in depth to the key informant who is a creative team at PT. VIP and using triangulation of sources, methods and theories of Wallas creative process as a technique of data validity. The result of this research is the creative process of this commercial video through the stages proposed by Wallas: preparation, incubation, illumination and verification. © 2019, International Journal of Scientific and Technology Research. All rights reserved.","Advertising; Creative Process; Wallas",,,,,,,"Wallas, G., Art of thought (2014) Solis Press; Kirk, J., Miller, M., Reliability and Validity in Qualitative Research, p. 1986. , 2455 Teller Road, Newbury Park California 91320 United States of America: SAGE Publications, Inc; Kriyantono, R., (2012) Teknik Praktis Riset Komunikasi, , 6th ed. Jakarta: Kencana Prenada Media Group; Gunawan, I., (2013) Metode Penelitian Kualitatif: Teori Dan Praktik, , Jakarta: Bumi Aksara; Mertens, D.M., (2005) Research and Evaluation in Education and Psychology: Integrating Diversity with Quantitative, Qualitative, and Mixed Methods, , Sage Publications",,,,"International Journal of Scientific and Technology Research",,,,,22778616,,,,"English","Int. J. Sci. Technol. Res.",Article,"Final","",Scopus,2-s2.0-85071749389
