Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Manufacturers,Funding Details,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Wang G., Hwa T.H.","57214836304;57211270795;","Designing business model canvas for motorcycle rental based mobile application (Case study at PT XYZ)",2019,"International Journal of Advanced Trends in Computer Science and Engineering","8","5",,"1841","1855",,3,"10.30534/ijatcse/2019/06852019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076548388&doi=10.30534%2fijatcse%2f2019%2f06852019&partnerID=40&md5=4e4ea52666ced0291b724e25ca5571eb","Information Systems Management Department, Bina Nusantara University, Jakarta, Indonesia","Wang, G., Information Systems Management Department, Bina Nusantara University, Jakarta, Indonesia; Hwa, T.H., Information Systems Management Department, Bina Nusantara University, Jakarta, Indonesia","With the decline of the Indonesia motorcycle market in these several years, there is a declining in the performance of motorcycle dealers in general, including PT.XYZ a motorcycle dealer in Tangerang City. By utilizing the Business Model Canvas (BMC), the author wants to design a new business model-based mobile application to support existing businesses, by using all the elements that exist in the industry running and using mobile application trends in the transport field. The business model design of this motorcycle rental is expected to increase the performance of the company, as a supporting business unit or even can be the main business of PT.XYZ. © 2019, World Academy of Research in Science and Engineering. All rights reserved.","Business model canvas; Mobile application; Motorcycle rental",,,,,,"(2018) FORM 10-K Hertz Global Holding, Inc-Htz (Period: December 31,2017), , Annual Report with a Comprehensive Overview of the Company; Parot, C., Peligry, L., (2018) EUROPCAR GROUP Full Year 2017 Results FY 2017 Results; (2018) 2017 Annual Report Mobility for Life Avis Budget Group, , New Jersey; (2018) “Sera Member of ASTRA, , Annual Report 2017 PT Serasi Autoraya,”; (2018) 2017 Annual Report Perseverance & Commitment PT Blue Bird Tbk, , Jakarta Barat; (2018) 2017 Annual Report Future Now MPM, , Jakarta; 2017 Consolidation in the Midst of Challengers (2018) Annual Report PT Express Transindo Utama Tbk; Tunas Ridean Tbk, P.T., (2018) Tunas Delivering Happiness Reimaging the Customer Experience 2017 Annual Report, , Jakarta Selatan; Adi Sarana Armanda Tbk, P.T., (2018) 2017 New Momentum for Sustainable Growth; Bughin, J., Chui, M., Manyika, J., Clouds, big data, and smart assets: Ten tech-enabled business trends to watch (2010) Mckinsey Q, (4), pp. 1-14; Yulistara, A., (2018) Milenial Mau Beli Mobil Baru? Baca Dulu Tips Ini, , CNBC Indonesia, Jakarta, Oct-; Frisendal, T., (2012) Design Thinking Business Analysis: Business Concept Mapping Applied, , https://doi.org/10.1007/978-3-642-32844-2, Springer; Osterwalder, A., Pigneur, Y., (2010) Business Model Generation: A Handbook for Visionaries, Game Changers, and Challengers, , John Wiley & Son, Inc; Osterwalder, A., The Business Model Ontology A Proposition In A Design Science Approach (2004) Université De Lausanne; Guyandi, O., Wang, G., Assessing Bike Sharing Business Model (2017) International Conference on Informatics and Computational Sciences (Icicos), 1. , https://doi.org/10.1109/ICICOS.2017.8276343; Gurel, E., Tat, M., SWOT Analysis: A Theoritical Review (2017) J. Int. Soc. Res, 10 (51), pp. 6-11. , https://doi.org/10.17719/jisr.2017.1832; Abdullah, D., Erliana, C.I., Bisnis Rental Mobil Melalui Internet (E-Commerce) Menggunakan Algoritma Sha-1 (Sequre Hash Algorithm-1) (2012) J. Speed-Sentra Penelit. Eng. Dan Edukasi, 4 (2), pp. 38-45; (2017) Peraturan Kepala Badan Pusat Statistik Nomor 19 Tahun 2017 Tentang Perubahan Atas Peraturan Kepala Badan Pusat Statistik Nomor 95 Tahun 2015 Tentang Klasifikasi Baku Lapangan Usaha Indonesia, , Indonesia; Rani, R., (2019) PPN Atas Sewa Kendaraan, , https://www.online-pajak.com/ppn-atas-sewa-kendaraan; Desai, S.D., Kallaganiger, J.D., E-business by PickMe – An Android based mobile app as a solution to transportation logistic (2013) Int. J. Adv. Trends Comput. Sci. Eng, 2 (5), pp. 15-21; Raju, L., Shastry, L., An Advanced Survey on Cloud Storage for Entreprise (2013) Int. J. Adv. Trends Comput. Sci. Eng, 2 (5), pp. 35-40; Goyal, V., Pandey, U.S., Batra, S., Mobile Banking in India: Practices,Challenges and Security Issues (2012) Int. J. Adv. Trends Comput. Sci. Eng, 1 (2), pp. 56-66; Gunzel, F., Holm, A.B., One Size Does Not Fit All-Understanding The Front-End and Back-End of Business Model Innovation (2013) Int. J. Innov. Manag, 17 (1), pp. 1-40. , https://doi.org/10.1142/S1363919613400021; Tyas, S.S., (2012) Analisis Strategi Penerapan Teknologi Informasi Dengan Menggunakan Metode SWOT Dan IT Balanced Scorecard (Studi Kasus: PT. Telekomunikasi Indonesia Sub Divisi Satelit), , Bina Nusantara University",,,,"World Academy of Research in Science and Engineering",,,,,22783091,,,,"English","Int. J. Adv. Trends Comput. Sci. Eng.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85076548388
"Wang G., Hwa T.H.","57214836304;57211270795;","Assessing business model for motorcycle rental based mobile application using balanced scorecard (Case study at PT XYZ)",2019,"International Journal of Advanced Trends in Computer Science and Engineering","8","5",,"1946","1964",,,"10.30534/ijatcse/2019/19852019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076520570&doi=10.30534%2fijatcse%2f2019%2f19852019&partnerID=40&md5=1d406242f9b7f25ed719d308b813cbd6","Information Systems Management Department, Bina Nusantara University, Jakarta, Indonesia","Wang, G., Information Systems Management Department, Bina Nusantara University, Jakarta, Indonesia; Hwa, T.H., Information Systems Management Department, Bina Nusantara University, Jakarta, Indonesia","Using a balanced scorecard, authors conduct an in-depth assessment of the business model for motorcycle rental based mobile application. With measurements on four perspectives: financial, customer, internal business process, and learning and growth, business model assessed whether to contribute to the long-term strategy of PT XYZ. The assessment use financial plan, financial projection, financial ratio, and feasibility study in measuring the business models from a financial perspective. Use the marketing mix in measuring the business model from a customer perspective. Design organizational structure, job description, and business process models for measuring aspects of the internal business process. Also, establish a risk management plan and KPIs in a learning and growth perspective. It is concluded that the business model for motorcycle rental based mobile application can contribute to the long-term strategy of PT XYZ. © 2019, World Academy of Research in Science and Engineering. All rights reserved.","Balanced scorecard; Business model; Mobile application; Motorcycle rental",,,,,,"Serasi Autoraya, P.T., Sera Member of ASTRA (2018) Annual Report 2017 PT Serasi Autoraya; Blue Bird Tbk, P.T., (2018) 2017 Annual Report Perseverance & Commitment PT Blue Bird Tbk, , Jakarta Barat; Mitra Pinasthika Mustika Tbk, P.T., (2018) 2017 Annual Report Future Now MPM, , Jakarta; 2017 Consolidation in the Midst of Challengers (2018) Annual Report PT Express Transindo Utama Tbk; Tunas Ridean Tbk, P.T., (2018) Tunas Delivering Happiness Reimaging the Customer Experience 2017 Annual Report, , Jakarta Selatan; Adi Sarana Armanda Tbk, P.T., (2018) 2017 New Momentum for Sustainable Growth; Bughin, J., Chui, M., Manyika, J., Clouds, big data, and smart assets: Ten tech-enabled business trends to watch (2010) Mckinsey Q, (4), pp. 1-14; Muzaki, A., Ray, N., Usai Motor Listrik, Viar Buka Sewa Tiga Roda Mulai Rp70 Ribu, , https://www.otosia.com/berita/usai-motor-listrik-viar-buka-sewa-tiga-roda-mulai-rp70-ribu.html, Otosia.Com, 11-Feb-2019; Abdullah, D., Erliana, C.I., Bisnis Rental Mobil Melalui Internet (E-Commerce) Menggunakan Algoritma Sha-1 (Sequre Hash Algorithm-1) (2012) J. Speed-Sentra Penelit. Eng. Dan Edukasi, 4 (2), pp. 38-45; Yuwono, L., (2013) Upaya Perusahaan Rental Untuk Menyelesaikan Wanprestasi dan,”, pp. 1-21; Erwin, A., Prabowo, H., Analisis Pengukuran Kinerja Menggunakan Metode Balanced Scorecard Pada PT.Bahtera Utama (2015) Binus Bus. Rev, 6 (2). , https://doi.org/10.21512/bbr.v6i1.1438; Kaplan, R.S., Norton, D.P., The Balanced Scorecard-Measures That Drive Performance (1991) Harv. Bus. Rev., pp. 71-79; Tyas, S.S., (2012) Analisis Strategi Penerapan Teknologi Informasi Dengan Menggunakan Metode SWOT Dan IT Balanced Scorecard (Studi Kasus: PT. Telekomunikasi Indonesia Sub Divisi Satelit), , Bina Nusantara University; Hannum, Z.J., (2012) Development of a New Technology Venture Balanced Scorecard Derived from Critical Factors that Impact Product Quality; IT Balanced Scorecard Implementation To Measure Information Technology Performance On Information Technology Division Of PT.Samudera Indonesia Tbk (2015) Comtech, 6 (4), pp. 444-458. , https://doi.org/10.21512/comtech.v6i3.2255; Baskara, A.S., Kaburuan, E.R., Ardiansyah, L., Sfenrianto, S., Hwa, T.H., Business Model Canvas of Motorcycle After-Sales Service Mobile Application (2019) Int. J. Civ. Eng. Technol, 10 (4), pp. 344-352; Raju, L., Shastry, L., An Advanced Survey on Cloud Storage for Entreprise (2013) Int. J. Adv. Trends Comput. Sci. Eng, 2 (5), pp. 35-40; Goyal, V., Pandey, U.S., Batra, S., Mobile Banking in India: Practices,Challenges and Security Issues (2012) Int. J. Adv. Trends Comput. Sci. Eng, 1 (2), pp. 56-66",,,,"World Academy of Research in Science and Engineering",,,,,22783091,,,,"English","Int. J. Adv. Trends Comput. Sci. Eng.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85076520570
"Suroso J.S., Hwa T.H., Syafaat R., Saddam, Pasaribu F.A., Mujiatun S.","56979307800;57211270795;57211276601;57211263965;57211265100;57221120449;","Assessing an Information Security Governance Using IPPF in Multi-Finance Company",2019,"Proceedings of 2019 International Conference on Information Management and Technology, ICIMTech 2019",,, 8843733,"596","601",,,"10.1109/ICIMTech.2019.8843733","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073201114&doi=10.1109%2fICIMTech.2019.8843733&partnerID=40&md5=6ec58ccca1d99127124c3138e24aafe8","Information Systems Management Department, Bina Nusantara University, Jakarta, 11480, Indonesia","Suroso, J.S., Information Systems Management Department, Bina Nusantara University, Jakarta, 11480, Indonesia; Hwa, T.H., Information Systems Management Department, Bina Nusantara University, Jakarta, 11480, Indonesia; Syafaat, R., Information Systems Management Department, Bina Nusantara University, Jakarta, 11480, Indonesia; Saddam, Information Systems Management Department, Bina Nusantara University, Jakarta, 11480, Indonesia; Pasaribu, F.A., Information Systems Management Department, Bina Nusantara University, Jakarta, 11480, Indonesia; Mujiatun, S., Information Systems Management Department, Bina Nusantara University, Jakarta, 11480, Indonesia","To ensure the performance of a company, at less once a year, the company use external or internal auditor to assess all assets of the company, include governance. One of company governance is information security governance. Multi-finance Company has to report to the regulator about internal audit activities. Otoritas Jasa Keuangan (OJK) is a financing companies' regulator, subject to Indonesia Law. International Professional Practices Framework (IPPF) is one of the standards for Internal Audit. This research what to list the questions Internal Auditor will ask the IT team to assess them about Information Security Governance. PT.ABC, a multi-finance company, will be used as a case study. © 2019 IEEE.","information security governance; IT audit; multi-finance company","Information management; Security of data; Indonesia; Information security governance; Internal audit; IT audit; Professional practices; Finance",,,,,"Love, P., Reinhard, J., Schwab, A., Spafford, G., (2010) GTAG Global Technology Audit Guide-IPPF Practice Guide-Information Security Governance; Susanto, H., Almunawar, M.N., Tuan, Y.C., Information security management system standards: A comparative study of the big five (2011) Int. J. Electr. Comput. Sci. IJECSIJENS, 11 (5), pp. 23-29. , October; (2017) International Standards for the Professional Practice of Internal Auditing (Standards), , The Institute of Internal Auditors; Agrawal, M., Campos, A., Pierce, E., (2014) Information Security, and IT Risk Management, , John Wiley & Son, Inc; Wheeler, E., (2011) Security Risk Management. Building An Information Security Management Program from the Ground Up, , Elsevier Inc; Suroso, J.S., Implementation of coso erm as security control framework in cloud service provider (2018) J. Adv. Manag. Sci., 5 (4), pp. 322-326; Gheorghe, M., Audit methodology for it governance (2010) Inform. Econ., 14 (1), pp. 32-42; Suroso, J.S., Rahadi, B., Development of it risk management framework using cobit 4. 1, implementation in it governance for support business strategy (2017) Int. Conf. Educ. Multimedia. Technol., pp. 92-96. , ICEMT; Lestari, H.D., Financial Services Authority: New system in regulatory and supervision of the financial services sector (2016) J. Din. Huk., 12 (3), pp. 12-18; (2014) Chairman of the Board of Commissioners of the Financial Services Authority, A Copy of Regulation of the Financial Services Authority No. 30/POJK. 05/2014 on Good Corporate Governance for the Financing Companies, , Indonesia; Endaya, K.A., Mohd Hanefah, M., Internal audit effectiveness: An approach proposition to develop the theoretical framework (2013) Res. J. Finance. Account., 4 (10), pp. 92-102; Robert, R.M., (2010) IT Audit, Control, and Security, , John Wiley & Son, Inc",,,"BINUS University;IEEE Indonesia Section","Institute of Electrical and Electronics Engineers Inc.","4th International Conference on Information Management and Technology, ICIMTech 2019","19 August 2019 through 20 August 2019",,152147,,9781728133331,,,"English","Proc. Int. Conf. Inf. Manag. Technol., ICIMTech",Conference Paper,"Final","",Scopus,2-s2.0-85073201114
